,city,proj_number,country,location_info,country1,latitude,longitude
87,Montieri,1,Italy,"Montieri, Grosseto, Tuscany, 58026, Italy",Italy,43.1306766,11.0162788
88,Mórahalom,1,Hungary,"Mórahalom, Mórahalmi járás, Csongrád-Csanád County, Southern Great Plain, Great Plain and North, 6782, Hungary",Hungary,46.2163238,19.8894811
89,München,3,Germany,"Munich, Bavaria, Germany",Germany,48.1371079,11.5753822
90,Murcia,1,Spain,"Murcia, Área Metropolitana de Murcia, Region of Murcia, Spain",Spain,37.9923795,-1.1305431
91,Nantes,2,France,"Nantes, Loire-Atlantique, Pays de la Loire, Metropolitan France, France",France,47.2186371,-1.5541362
92,Napoli,1,Italy,"Naples, Napoli, Campania, Italy",Italy,40.8358846,14.2487679
93,Neckarsulm,1,Germany,"Neckarsulm, Verwaltungsgemeinschaft Neckarsulm, Landkreis Heilbronn, Baden-Württemberg, 74172, Germany",Germany,49.191133,9.2248391
94,Neuchâtel,1,Switzerland,"Neuchâtel, Switzerland",Switzerland,46.9895828,6.9292641
95,Nice,1,France,"Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France",France,43.7009358,7.2683912
96,North Tipperary,1,Ireland,"North Tipperary, Rincon Mobile Home Park Village, Tucson, Pima County, Arizona, 85730, United States",United States,32.1830545,-110.802902
97,Nottingham,1,United Kingdom,"Nottingham, Nottinghamshire, England, United Kingdom",United Kingdom,52.9534193,-1.1496461
98,Óbuda,1,Hungary,"Óbuda, 3rd district, Budapest, Central Hungary, Hungary",Hungary,47.5385183,19.0397341
99,Oslo,1,Norway,"Oslo, Norway",Norway,59.9133301,10.7389701
100,Ostfildern,1,Germany,"Ostfildern, Landkreis Esslingen, Baden-Württemberg, 73760, Germany",Germany,48.7178603,9.2630693
101,Oulu,2,Finland,"Oulu, Oulu sub-region, North Ostrobothnia, Regional State Administrative Agency for Northern Finland, Mainland Finland, Finland",Finland,65.0118734,25.4716809
102,Palma de Mallorca,1,Spain,"Palma, Balearic Islands, Spain",Spain,39.5695818,2.6500745
103,Pamplona,1,Spain,"Pamplona, Metropolialdea / Área Metropolitana, Navarre, Spain",Spain,42.8182536,-1.6440304
104,Paris,1,France,"Paris, Ile-de-France, Metropolitan France, France",France,48.8588897,2.3200410217200766
105,Pernik,1,Bulgaria,"Pernik, Bulgaria",Bulgaria,42.628442,22.882311866811484
106,Pisa,1,Italy,"Pisa, Tuscany, Italy",Italy,43.7159395,10.4018624
107,Plymouth,1,United Kingdom,"Plymouth, England, United Kingdom",United Kingdom,50.3712659,-4.1425658
108,Redange,1,France,"Rédange, Thionville, Moselle, Grand Est, Metropolitan France, 57390, France",France,49.493259,5.9189504
109,Riihimäki,1,Finland,"Riihimäki, Riihimaki sub-region, Kanta-Häme, Southern Finland, Mainland Finland, Finland",Finland,60.7390089,24.7728148
110,Rijssen,1,Netherlands,"Rijssen, Rijssen-Holten, Overijssel, Netherlands",Netherlands,52.3080276,6.5213004
111,Roosendaal,1,Netherlands,"Roosendaal, North Brabant, Netherlands",Netherlands,51.5331484,4.4561276
112,Rotterdam,2,Netherlands,"Rotterdam, South Holland, Netherlands",Netherlands,51.9244424,4.47775
113,Rottne,1,Sweden,"Rottne, Växjö kommun, Kronoberg County, 363 30, Sweden",Sweden,57.0216769,14.8921004
114,Saint-Quentin-en-Yvelines,1,France,"Communauté d'agglomération de Saint-Quentin-en-Yvelines, Yvelines, Ile-de-France, Metropolitan France, France",France,48.7818613,2.015952118728746
115,Salzburg,1,Austria,"Salzburg, 5020, Austria",Austria,47.7981346,13.0464806
116,San Sebastian,3,Spain,"San Sebastián, Donostialdea, Gipuzkoa, Autonomous Community of the Basque Country, Spain",Spain,43.3224219,-1.9838889
117,Santiago de Compostela,1,Spain,"Santiago de Compostela, Santiago, A Coruña, Galicia, 15705, Spain",Spain,42.8804219,-8.5458608
118,Sestao,1,Spain,"Sestao, Biscay, Autonomous Community of the Basque Country, 48910, Spain",Spain,43.309341,-3.0074501
119,Sierre,1,Switzerland,"Sierre, Wallis, 3960, Switzerland",Switzerland,46.2922522,7.5323195
120,Słubice,1,Germany,"Frankfurt (Oder), Brandenburg, Germany",Germany,52.3412273,14.549452
121,Sofia,2,Bulgaria,"Sofia, Sofia City, Sofia-City, Bulgaria",Bulgaria,42.6977028,23.3217359
122,Soma,1,Turkey,"Soma, Manisa, Aegean Region, Turkey",Turkey,39.21086445,27.63408226370003
123,Sonderborg,1,Denmark,"Sønderborg, Sønderborg Municipality, Region of Southern Denmark, 6400, Denmark",Denmark,54.9089186,9.7897999
124,Stambruges,1,Belgium,"Stambruges, Belœil, Ath, Hainaut, Wallonia, 7973, Belgium",Belgium,50.5086579,3.7192008
125,Stavanger,1,Norway,"Stavanger, Rogaland, 4006, Norway",Norway,58.9699509,5.7318061
126,Stenløse,1,Denmark,"Stenløse, Egedal Municipality, Capital Region of Denmark, 3660, Denmark",Denmark,55.7682789,12.1985549
127,Stockholm,1,Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",Sweden,59.3251172,18.0710935
128,Stoke-on-Trent,1,United Kingdom,"Stoke-on-Trent, England, United Kingdom",United Kingdom,53.0162014,-2.1812607
129,Stuttgart,1,Germany,"Stuttgart, Baden-Württemberg, Germany",Germany,48.7784485,9.1800132
130,Suonenjoki,1,Finland,"Suonenjoki, Inner Savonia, North Savo, Regional State Administrative Agency for Eastern Finland, Mainland Finland, Finland",Finland,62.6241926,27.1245609
131,Szentendre,2,Hungary,"Szentendre, Szentendrei járás, Pest, Central Hungary, Hungary",Hungary,47.6677606,19.0760467
132,Tallin,1,Estonia,"Tallinn, Harju maakond, Estonia",Estonia,59.4372155,24.7453688
133,Tampere,2,Finland,"Tampere, Tampere sub-region, Pirkanmaa, Western and Central Finland, Mainland Finland, Finland",Finland,61.4980214,23.7603118
134,Tartu,2,Estonia,"Tartu, Tartu linn, Tartu maakond, Estonia",Estonia,58.3801207,26.72245
135,Tepebasi,1,Turkey,"Tepebaşı Mahallesi, Kırıkkale, Central Anatolia Region, Turkey",Turkey,39.8423459,33.5099289
136,Torino,1,Italy,"Turin, Torino, Piedmont, Italy",Italy,45.0677551,7.6824892
137,Trento,1,Italy,"Provincia di Trento, Trentino-Alto Adige/Südtirol, Italy",Italy,46.1030443,11.129840331695068
138,Trondheim,2,Norway,"Trondheim, Trøndelag, Norway",Norway,63.4305658,10.3951929
139,Tudela,1,Spain,"Tudela, Erribera / Ribera, Navarre, 31500, Spain",Spain,42.063972,-1.6053391
140,Tulln,1,Austria,"Gemeinde Tulln an der Donau, Bezirk Tulln, Lower Austria, 3430, Austria",Austria,48.3311686,16.0567744
141,Turku,2,Finland,"Turku, Turku sub-region, Southwest Finland, South-Western Finland, Mainland Finland, Finland",Finland,60.4517531,22.2670522
142,Umeå,1,Sweden,"Umeå, Umeå kommun, Västerbotten County, Sweden",Sweden,63.8256568,20.2630745
143,Utrecht,1,Netherlands,"Utrecht, Netherlands",Netherlands,52.080985600000005,5.12768396945229
144,Valby,1,Denmark,"Valby, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1805, Denmark",Denmark,55.6618019,12.5169523
145,Valencia,2,Spain,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",Spain,39.4697065,-0.3763353
146,Valladolid,3,Spain,"Valladolid, Castile and León, Spain",Spain,41.6521328,-4.728562
147,Varberg,1,Sweden,"Varberg, Varbergs kommun, Halland County, 432 41, Sweden",Sweden,57.1057412,12.2502949
