,index,city,proj_number,country,location_info,country1
94,94,Neuchâtel,1,Switzerland,"Neuchâtel, Switzerland",Switzerland
95,95,Nice,1,France,"Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France",France
96,96,North Tipperary,1,Ireland,"North Tipperary, Rincon Mobile Home Park Village, Tucson, Pima County, Arizona, 85730, United States",United States
97,97,Nottingham,1,United Kingdom,"Nottingham, Nottinghamshire, England, United Kingdom",United Kingdom
98,98,Óbuda,1,Hungary,"Óbuda, 3rd district, Budapest, Central Hungary, Hungary",Hungary
99,99,Oslo,1,Norway,"Oslo, Norway",Norway
100,100,Ostfildern,1,Germany,"Ostfildern, Landkreis Esslingen, Baden-Württemberg, 73760, Germany",Germany
101,101,Oulu,2,Finland,"Oulu, Oulu sub-region, North Ostrobothnia, Regional State Administrative Agency for Northern Finland, Mainland Finland, Finland",Finland
102,102,Palma de Mallorca,1,Spain,"Palma, Balearic Islands, Spain",Spain
103,103,Pamplona,1,Spain,"Pamplona, Metropolialdea / Área Metropolitana, Navarre, Spain",Spain
104,104,Paris,1,France,"Paris, Ile-de-France, Metropolitan France, France",France
105,105,Pernik,1,Bulgaria,"Pernik, Bulgaria",Bulgaria
106,106,Pisa,1,Italy,"Pisa, Tuscany, Italy",Italy
107,107,Plymouth,1,United Kingdom,"Plymouth, England, United Kingdom",United Kingdom
108,108,Redange,1,France,"Rédange, Thionville, Moselle, Grand Est, Metropolitan France, 57390, France",France
109,109,Riihimäki,1,Finland,"Riihimäki, Riihimaki sub-region, Kanta-Häme, Southern Finland, Mainland Finland, Finland",Finland
110,110,Rijssen,1,Netherlands,"Rijssen, Rijssen-Holten, Overijssel, Netherlands",Netherlands
111,111,Roosendaal,1,Netherlands,"Roosendaal, North Brabant, Netherlands",Netherlands
112,112,Rotterdam,2,Netherlands,"Rotterdam, South Holland, Netherlands",Netherlands
113,113,Rottne,1,Sweden,"Rottne, Växjö kommun, Kronoberg County, 363 30, Sweden",Sweden
114,114,Saint-Quentin-en-Yvelines,1,France,"Communauté d'agglomération de Saint-Quentin-en-Yvelines, Yvelines, Ile-de-France, Metropolitan France, France",France
115,115,Salzburg,1,Austria,"Salzburg, 5020, Austria",Austria
